"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","60.460.200","2,21","-0,90%"
"B3SA3","B3","44.639.700","10,36","+0,29%"
"CVCB3","CVC","41.305.100","1,40","-2,10%"
"ABEV3","Ambev","37.624.000","12,07","-0,58%"
"MGLU3","Magazine Luiza","32.270.000","6,51","-0,31%"
"ASAI3","Assaí","30.175.900","5,73","-3,05%"
"COGN3","Cogna","28.205.800","1,06","+0,95%"
"MRFG3","Marfrig","24.046.700","16,60","-1,37%"
"ITSA4","Itaúsa","23.565.700","8,83","-0,79%"
"CPLE6","Copel","19.801.200","9,17","+0,88%"
"BBDC4","Banco Bradesco","19.364.200","11,55","-0,77%"
"BRAV3","3R Petroleum","17.799.900","22,57","+10,64%"
"AZUL4","Azul","17.064.100","3,36","+0,60%"
"VALE3","Vale","16.635.300","54,74","-0,49%"
"CRFB3","Carrefour Brasil","16.183.600","5,37","-4,62%"
"CCRO3","Grupo CCR","15.778.600","10,23","+0,29%"
"ONCO3","Oncoclínicas","15.681.900","2,39","+18,32%"
"CSAN3","Cosan","14.621.200","8,16","-2,39%"
"ITUB4","Itaú Unibanco","13.608.600","30,78","-1,00%"
"BEEF3","Minerva","13.282.800","5,18","-0,77%"
"ANIM3","Ânima Educação","13.028.200","1,58","-1,86%"
"RAIZ4","Raízen","12.949.600","2,12","-1,40%"
"PCAR3","Grupo Pão de Açúcar","12.744.800","2,59","+1,17%"
"VAMO3","Grupo Vamos","11.864.500","4,66","-7,17%"
"USIM5","Usiminas","10.657.800","5,29","+0,00%"
"BBAS3","Banco do Brasil","10.465.000","24,11","-0,37%"
"CMIG4","Cemig","10.383.000","11,04","-0,09%"
"CSNA3","Siderúrgica Nacional","10.265.900","8,68","-2,47%"
"BBDC3","Banco Bradesco","9.611.800","10,65","-0,75%"
"PETR3","Petrobras","9.594.400","38,84","-1,12%"
"LREN3","Lojas Renner","9.296.500","12,22","-1,69%"
"POMO4","Marcopolo","9.123.500","7,38","+1,23%"
"VBBR3","Vibra Energia","9.063.200","17,90","-1,27%"
"MRVE3","MRV","9.029.500","5,35","+0,19%"
"PETZ3","Petz","8.916.400","4,15","+3,75%"
"MOVI3","Movida","8.708.100","3,64","-1,89%"
"CMIN3","CSN Mineração","8.599.400","5,01","-3,28%"
"GOAU4","Metalúrgica Gerdau","8.195.300","10,32","-2,37%"
"NTCO3","Natura","8.143.000","12,88","-2,05%"
"RAIL3","Rumo","8.113.400","17,85","-0,61%"
"ELET3","Eletrobras","7.961.400","34,14","+0,12%"
"CPLE3","Copel","7.819.200","8,26","+0,24%"
"GGBR4","Gerdau","7.688.000","18,34","-1,98%"
"BRFS3","BRF","7.576.700","24,80","-2,63%"
"RADL3","RaiaDrogasil","7.355.600","22,00","-2,40%"
"ENEV3","Eneva","7.250.800","10,54","-1,77%"
"JBSS3","JBS","6.766.500","36,21","-2,64%"
"EQTL3","Equatorial Energia","6.265.200","27,64","-0,65%"
"UGPA3","Ultrapar","6.248.400","15,85","-0,25%"
"GMAT3","Grupo Mateus","5.932.600","6,50","-6,34%"
"BPAC11","Banco BTG Pactual","5.872.100","27,58","-0,86%"
"RENT3","Localiza","5.564.700","32,50","-0,09%"
"DXCO3","Dexco","5.377.900","6,07","-0,33%"
"RCSL4","Recrusul","5.163.200","1,15","-8,00%"
"CEAB3","C&A","4.956.800","8,47","-3,75%"
"AMER3","Americanas","4.725.100","5,15","-0,96%"
"YDUQ3","YDUQS","4.719.700","8,32","+0,97%"
"PRIO3","PetroRio","4.594.500","39,91","+0,03%"
"LWSA3","Locaweb","4.580.300","3,22","-3,30%"
"CXSE3","Caixa Seguridade","4.556.200","14,55","+0,62%"
"CYRE3","Cyrela","4.418.400","17,12","+0,18%"
"SUZB3","Suzano","4.316.400","61,59","-0,57%"
"CBAV3","CBA","4.154.000","4,69","-0,42%"
"IFCM3","Infracommerce","4.032.900","0,06","-14,29%"
"LJQQ3","Lojas Quero-Quero","3.970.300","2,20","+2,33%"
"RDOR3","Rede D'Or","3.962.700","25,28","-1,52%"
"TIMS3","TIM","3.961.700","14,40","+0,28%"
"AURE3","Auren Energia","3.940.600","8,70","+0,23%"
"EMBR3","Embraer","3.926.000","56,33","+0,16%"
"KLBN11","Klabin","3.811.300","23,21","-0,64%"
"QUAL3","Qualicorp","3.781.600","1,54","-3,14%"
"HYPE3","Hypera","3.779.300","17,76","-0,78%"
"SBFG3","Grupo SBF","3.751.700","10,82","+0,37%"
"WEGE3","WEG","3.720.300","53,68","-1,79%"
"SIMH3","Simpar","3.682.100","3,52","+0,28%"
"RCSL3","Recrusul","3.647.400","6,50","+0,15%"
"MULT3","Multiplan","3.556.000","21,19","+0,76%"
"ECOR3","EcoRodovias","3.428.200","4,29","+1,66%"
"TOTS3","Totvs","3.420.500","27,03","-1,03%"
"BBSE3","BB Seguridade","3.300.400","36,28","-0,52%"
"STBP3","Santos Brasil","3.135.500","13,08","+0,77%"
"BRKM5","Braskem","2.983.200","11,55","-2,04%"
"ISAE4","ISA Energia","2.967.100","23,05","-0,43%"
"GFSA3","Gafisa","2.962.900","1,15","+4,55%"
"VVEO3","Viveo","2.935.100","2,12","+5,47%"
"ALOS3","Allos","2.930.000","18,17","-0,33%"
"AZEV4","Azevedo & Travassos","2.922.000","1,02","+3,03%"
"SBSP3","Sabesp","2.790.600","88,29","-0,30%"
"PSSA3","Porto Seguro","2.761.100","36,57","-0,35%"
"HBSA3","Hidrovias do Brasil","2.730.100","2,78","-0,71%"
"FLRY3","Fleury","2.507.500","12,24","+0,66%"
"GOLL4","GOL","2.497.700","1,28","+0,00%"
"BRAP4","Bradespar","2.439.000","16,61","-0,66%"
"ALPA4","Alpargatas","2.356.100","6,32","-0,94%"
"RECV3","PetroRecôncavo","2.341.500","15,78","+2,87%"
"VIVA3","Vivara","2.328.800","19,27","+0,21%"
"DIRR3","Direcional","2.319.900","26,88","-0,59%"
"JHSF3","JHSF","2.228.900","3,74","-0,53%"
"SLCE3","SLC Agrícola","2.217.900","17,68","-0,23%"
"IGTI11","Jereissati Participações","2.152.400","17,44","+0,11%"
"IGTI11","Iguatemi","2.152.400","17,44","+0,11%"
"EZTC3","EZTEC","2.062.200","10,91","-0,73%"
"TUPY3","Tupy","2.024.200","23,20","+0,43%"
"ELET6","Eletrobras","1.920.800","37,83","+0,11%"
"BHIA3","Casas Bahia","1.905.000","2,83","+2,17%"
"IRBR3","IRB Brasil RE","1.878.300","43,35","+1,17%"
"TEND3","Construtora Tenda","1.845.300","12,30","+0,00%"
"TAEE11","Taesa","1.786.200","32,87","+0,09%"
"MLAS3","Multilaser","1.675.600","1,06","+0,95%"
"ALUP11","Alupar","1.644.000","26,56","+0,42%"
"VIVT3","Vivo","1.639.900","47,16","-1,32%"
"AZZA3","Arezzo","1.625.000","29,14","+1,08%"
"INTB3","Intelbras","1.600.000","12,77","-0,85%"
"SANB11","Banco Santander","1.585.600","23,63","-0,59%"
"ENGI11","Energisa","1.567.900","36,84","-0,94%"
"CURY3","Cury","1.541.900","17,99","-1,48%"
"SMFT3","Smart Fit","1.498.900","16,98","-0,47%"
"EGIE3","Engie","1.456.000","34,95","-1,77%"
"GRND3","Grendene","1.452.100","5,01","+0,60%"
"SMTO3","São Martinho","1.392.300","23,59","-0,92%"
"SRNA3","Serena Energia","1.326.200","5,47","-0,36%"
"CPFE3","CPFL Energia","1.266.100","31,55","+0,19%"
"CASH3","Méliuz","1.240.900","2,82","+4,83%"
"BPAN4","Banco Pan","1.179.600","6,39","-4,05%"
"GGPS3","GPS","1.146.800","14,18","+0,28%"
"CSMG3","COPASA","1.093.400","20,24","-0,98%"
"ARML3","Armac","1.075.000","5,35","-6,63%"
"MDIA3","M. Dias Branco","1.058.200","20,16","-0,88%"
"ABCB4","Banco ABC Brasil","1.051.500","20,02","+0,40%"
"RAPT4","Randon","951.500","9,89","+0,30%"
"SAPR4","Sanepar","951.400","5,55","+1,83%"
"DASA3","Dasa","910.300","2,04","-0,49%"
"CAML3","Camil Alimentos","898.800","5,99","-1,32%"
"PLPL3","Plano&Plano","890.900","9,26","-0,75%"
"OIBR3","Oi","890.100","1,33","+0,00%"
"ODPV3","Odontoprev","887.900","10,75","+0,66%"
"KLBN4","Klabin","883.600","4,60","+0,22%"
"SAPR11","Sanepar","871.100","27,55","+2,42%"
"AERI3","Aeris Energy","870.400","8,31","-0,12%"
"TTEN3","3tentos","865.400","13,39","-1,54%"
