RazaoSocial;Fundo;Segmento;Ticker
RBR FLAGSHIP I FUNDO DE INVESTIMENTO IMOB RES LIM;FII SHIP;;SHIP
RBR LOG FUNDO DE INVESTIMENTO IMOBILI�RIO;FII RBR LOG;;RBRL
RBR PLUS MULTIESTRAT�GIA REAL ESTATE FII;FII RBR MULT;;RBRX
RBR PREMIUM RECEB�VEIS IMOBILI�RIOS FDO INV IMOB;FII RBR PR;;RPRI
RBR TOP OFFICES FDO DE INV IMOB RESP LIM;FII TOPP;;TOPP
REAG MULTI ATIVOS IMOBILI�RIOS - FII;FII REAGMULT;;RMAI
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILI�RIO;FII REAL INV;;RINV
REC FDO DE CRI COTAS AMORT FDO DE INV IMOB - R LIM;FII RECD;;RECD
REC MULTIESTRAT�GIA FDO INV IMOB RESP LIM;FII RECM;;RECM
RIO BRAVO CREDITO IMOB HIGH GRADE FUND DE INVEST;FII RBCRI IV;;RBHG
RIO BRAVO CR�DITO IMOB. HIGH YIELD FDO. INV. IMOB.;FII RB YIELD;;RBHY
RIO BRAVO CR�DITO IMOBILI�RIO II FDO INV IMOB -FII;FII RIOBCRI2;;RBVO
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOB;FII RIOB FF;;RBFF
RIO BRAVO OPORTUNIDADES IMOBILI�RIAS FII;FII MERC BR;;RBOP
RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.;FII RIOB RR;;RBRS
RIZA AKIN FDO. INV. IMOB. FII;FII RIZA AKN;;RZAK
RIZA ARCTIUM REAL ESTATE FDO INV IMOB;FII ARCTIUM;;RZAT
RIZA LECCI FUNDO DE INVESTIMENTO IMOB RESP LIM;FII RZLC;;RZLC
ROCK - FII FUNDO DE INVESTIMENTO IMOBILI�RIO;FII ROCK;;RCKF
SANTANDER PAPEIS IMOB CDI FDO INV IMOB;FII SANT PAP;;SADI
SANTANDER PAP�IS IMOBILI�RIOS FDO DE INV IMOB;FII SAPI;;SAPI
SANTANDER RENDA DE ALUGU�IS FDO. INVEST. IMOB.;FII SANT REN;;SARE
SAO DOMINGOS FDO INV IMOB - FII;FII DOMINGOS;;FISD
SEQUOIA III RENDA IMOBILI�RIA - FDO. INV. IMOB.;FII SEQUOIA;;SEQR
SHOPPING WEST PLAZA FDO INV IMOB;FII W PLAZA;;WPLZ
SINGULARE FDO INV IMOB - FII;FII REIT RIV;;REIT
SJ AU LOG�STICA FDO. INV. IMOB.;FII SJ AU;;SJAU
SOLARIUM FII - FDO INV. IMOB.;FII SOLARIUM;;SOLR
SP DOWNTOWN FDO INV IMOB - FII;FII SP DOWNT;;SPTW
SPA FDO INV IMOB - FII;FII SPA;;SPAF
SPECIALE BLUE REAL ASSET FDO DE INV IMOB;FII SPECIALE;;LTMT
SPECIALE REAL ESTATE DEVELOPMENT FDO DE INV IMOB;FII DVLP;;DVLP
SPECIALE REAL ESTATE DEVELOPMENT II FII;FII DVLT;;DVLT
SPECIALE REAL ESTATE FUND OF FUNDS FDO DE INV IMOB;FII PMFO;;PMFO
SPGM FDO DE INV IMOB - RESP LIM;FII SPGM;;SPGM
SPGM II - FUNDO DE INVESTIMENTO IMOB  RESP LIM;FII SPG2;;SPG2
SPX SYN DESEN. DE GALP�ES LOG. FEEDER BRADESCO;FII SPXM;;SPXM
SPX SYN DESENV GALP�ES LOG FEEDER PRIVATE FII;FII SPXG;;SPXG
SPX SYN DESENVOLVIMENTO DE GALP�ES LOG�STICOS;FII SPXL;;SPXL
STARX FDO INV IMOB - FII;FII STARX;;STRX
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI�RIO;FII SUNOFOFI;;SNFF
SUNO LOG FUNDO DE INVESTIMENTO IMOBILI�RIO;FII SUNO LG;;SNLG
SUNO MULTIESTRAT�GIA FDO DE INV IMOB;FII SNME;;SNME
SUNO RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOB;FII SUNO CRI;;SNCI
SUPREMO FUNDO DE INVESTIMENTO IMOBILI�RIO;FII SUPREMO;;SPMO
TELLUS DESENVOLVIMENTO LOG�STICO FDO. INVEST. IMOB;FII TELLUS;;TELD
TELLUS MULTIESTRAT�GIA - FDO INV IMOB RESP LTDA;FII TELM;;TELM
TELLUS PROPERTIES - FDO INV. IMOB;FII TEL PROP;;TEPP
TISHMAN SPEYER RENDA CORPORATIVA FDO. INV. IMOB.;FII TISHMAN;;TSER
TIVIO RENDA IMOBILI�RIA FUNDO DE INVESTIMENTO IMOB;FII TIVIO RI;;TVRI
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILI�RIO;FII V MASTER;;VOTS
TJK RENDA IMOBILI�RIA FDO INV IMOB;FII TJK REND;;TJKB
TORDESILHAS EI FDO. INV. IMOB.;FII TORDE EI;;TORD
TRANSINC FDO INV IMOB - FII;FII TRANSINC;;TSNC
TREECORP REAL ESTATE FDO INV IMOB - I;FII TREECORP;;TCPF
TRX HEDGE FUND FDO DE INV IMOB - RESP LIM;FII TRXY;;TRXY
TRX REAL ESTATE FDO. INV. IMOB. - FII;FII TRX REAL;;TRXF
TRX REAL ESTATE II FDO. INVEST. IMOB.;FII TRX R II;;TRXB
URCA HEDGE FUND MULT IMOB FDO INV IMOB - RESP LIM;FII URHF;;URHF
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII URCA REN;;URPR
V2 EDIFICIOS CORPORATIVOS FDO INV IMOB - FII;FII V2EDCORP;;VVCO
V2 MULTI RENDA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII MULT REN;;VVMR
V2 RECEB�VEIS IMOBILI�RIOS FUNDO DE INVESTIMENTO I;FII V2 RECE;;VVCR
V2 RENDA IMOBILI�RIA FDO DE INV IMOB;FII V2 RENDA;;VVRI
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILI�RIO;FII VALREIII;;VGIR
VALORA CRI �NDICE DE PRE�O FDO INVEST. IMOB. FII;FII VALORAIP;;VGIP
VALORA CRI INFRA II FII DE RESP. LTDA;FII VGII;;VGII
VALORA HEDGE FUND FDO. INV. IMOB.;FII VALOR HE;;VGHF
VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT;FII VGRI;;VGRI
VBI AGRO - FUNDO DE INVESTIMENTO  IMOBILI�RIO;FII QAGR VBI;;QAGR
VBI OFFICE FUND II - FDO. INVEST. IMOB.;FII BLMO VBI;;BLMO
VBI REITS MULTIESTRAT�GIA FDO. INV. IMOB;FII RVBI VBI;;RVBI
VECTIS JUROS REAL FDO INV. IMOB. - FII;FII VECTIS;;VCJR
VECTIS RENDA RESIDENCIAL FDO. INV. IMOB.;FII VECT REN;;VCRR
VECTIS SECURITIES FDO DE INV IMOB RESP LIM;FII VCSC;;VCSC
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB;FII VQ LAJES;;VLJS
VENUS - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII VENUS;;SALI
VERA CRUZ THREE FDO DE INV IMOB RESP LIM;FII VCTH;;VCTH
VERSALHES RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB;FII VERS CRI;;VSLH
VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB;FII VIC DES;;VIDS
VIC DESENVOLVIMENTO VINTAGE 22/23 FDO DE INV IMOB;FII VIC VIN;;VDSV
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOB;FII VINCI CR;;VCRI
VINCI IM�VEIS URBANOS FDO. DE INV. IMOB.;FII VINCI IU;;VIUR
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII;FII VINCI IF;;VIFI
VINCI LOG�STICA FDO INV IMOB - FII;FII VINCI LG;;VILG
VINCI OFFICES FDO INV IMOB;FII VINCI OF;;VINO
VINCI OPORTUNIDADE LOG�STICA FUN DE INVES IMO RES;FII VIOL;;VIOL
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;FII VINCI SC;;VISC
WARREN SECURITIES FDO DE INV IMOB - FII;FII WARREN;;WSEC
WHG FINVEST SP REALTY FDO DE INV IMOB - FII;FII WHG F SP;;SPDE
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI�RIO;FII WHG REAL;;WHGR
XP CORPORATE MACA� FDO INV IMOB - FII;FII XP MACAE;;XPCM
XP CREDITO IMOBILI�RIO - FDO INV IMOB;FII XP CRED;;XPCI
XP INDUSTRIAL FDO INV IMOB - FII;FII XP INDL;;XPIN
XP LOG FDO INV IMOB - FII;FII XP LOG;;XPLG
XP MALLS FDO INV IMOB FII;FII XP MALLS;;XPML
XP PROPERTIES FDO. INV. IMOB.;FII XP PROP;;XPPR
XP SELECTION FDO DE FUNDOS INV IMOB - FII;FII XP SELEC;;XPSF
XPCE RE FDO INV IMOB;FII XPCE RE;;XPCE
YUCA FDO INV. IMOB. RESPONSABILIDADE LIMITADA;FII YUCA;;YUFI
ZAGROS MULTIESTRAT�GIA FDO DE INV IMOB;FII ZAGH;;ZAGH
ZAVIT CR�DITO IMOBILI�RIO - FDO INV IMOB;FII ZAVIT C;;ZAVC
ZAVIT REAL ESTATE FUND - FDO INV IMOB;FII ZAVIT R;;ZAVI
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII ZION;;ZIFI
